Link,Name,PS4 Price,XBox Price,PC Price,Club,Nation,League,Skills,Weak Foot,Intl. Rep,Foot,Height,Weight,Revision,Def. WR,Att. WR,Added on,Origin,R.Face,B.Type,DOB
https://www.futbin.com/21/player/220/juan-sebastian-veron,Juan Sebastián Verón,"701,000","620,000","860,000",FUT 21 ICONS,Argentina,Icons,3 ,4 ,4 ,Right ,"186cm | 6'1"" ",80 ,Icon,Med,Med,2020-09-10,Prime,true,High & Average,09-03-1975
https://www.futbin.com/21/player/43/ruud-van-nistelrooy,Ruud van Nistelrooy,"382,000","425,000","500,000",FUT 21 ICONS,Netherlands,Icons,3 ,3 ,5 ,Right ,"188cm | 6'2"" ",80 ,Icon,Low,High,2020-09-10,Prime,true,High & Average,01-07-1976
https://www.futbin.com/21/player/218/rivaldo,Rivaldo Vítor Borba Ferreira,"490,000","500,000","1,000,000",FUT 21 ICONS,Brazil,Icons,4 ,2 ,4 ,Left ,"186cm | 6'1"" ",76 ,Icon,Low,Med,2020-09-10,Medium,true,High & Average+,19-04-1972
https://www.futbin.com/21/player/42/andrea-pirlo,Andrea Pirlo,"599,000","630,000","822,000",FUT 21 ICONS,Italy,Icons,5 ,4 ,4 ,Right ,"177cm | 5'10"" ",67 ,Icon,Med,Med,2020-09-10,Prime,false,Lean,19-05-1979
https://www.futbin.com/21/player/63/franco-baresi,Franco Baresi,"426,000","459,000","460,000",FUT 21 ICONS,Italy,Icons,2 ,3 ,5 ,Right ,"176cm | 5'9"" ",70 ,Icon,High,Med,2020-09-10,Prime,true,Average,08-05-1960
https://www.futbin.com/21/player/87/pele,Edson Arantes Nascimento,"8,500,000","10,000,000",0,FUT 21 ICONS,Brazil,Icons,5 ,4 ,5 ,Right ,"173cm | 5'8"" ",70 ,Icon,Med,High,2020-09-10,Prime,false,Unique,23-10-1940
https://www.futbin.com/21/player/141/edwin-van-der-sar,Edwin van der Sar,"470,000","410,000","620,000",FUT 21 ICONS,Netherlands,Icons,1 ,3 ,4 ,Right ,"197cm | 6'6"" ",83 ,Icon,Med,Med,2020-09-10,Medium,false,High & Average+,29-10-1970
https://www.futbin.com/21/player/26799/joshua-kimmich,Joshua Kimmich,"225,000","218,000","320,000",FC Bayern,Germany,Bundesliga,3 ,4 ,3 ,Right ,"176cm | 5'9"" ",73 ,TOTGS,Med,High,2020-12-04,TOTGS,true,Lean,08-02-1995
https://www.futbin.com/21/player/27985/lionel-messi,Lionel Messi,"5,123,000","4,390,000","7,099,000",FC Barcelona,Argentina,LaLiga Santander,4 ,4 ,5 ,Left ,"170cm | 5'7"" ",72 ,TOTY,Low,Med,2021-01-29,TOTY,true,Messi,24-06-1987
https://www.futbin.com/21/player/27751/robert-lewandowski,Robert Lewandowski,"2,470,000","2,100,000","3,000,000",FC Bayern,Poland,Bundesliga,4 ,4 ,4 ,Right ,"184cm | 6'0"" ",80 ,TOTY,Med,High,2021-01-22,TOTY,true,Unique,21-08-1988
https://www.futbin.com/21/player/515/kevin-de-bruyne,Kevin De Bruyne,"79,500","85,000","102,000",Manchester City,Belgium,Premier League,4 ,5 ,4 ,Right ,"181cm | 5'11"" ",70 ,Rare,High,High,2020-09-10,,true,Unique,28-06-1991
https://www.futbin.com/21/player/255/ian-rush,Ian Rush,"346,000","390,000","418,000",FUT 21 ICONS,Wales,Icons,3 ,4 ,4 ,Right ,"180cm | 5'11"" ",79 ,Icon,Med,High,2020-09-10,Prime,false,Lean,20-10-1961
https://www.futbin.com/21/player/225/roberto-baggio,Roberto Baggio,"490,000","469,000","575,000",FUT 21 ICONS,Italy,Icons,5 ,4 ,4 ,Right ,"174cm | 5'9"" ",72 ,Icon,Low,Med,2020-09-10,Medium,true,Unique,18-02-1967
https://www.futbin.com/21/player/203/johan-cruyff,Johan Cruyff,"4,025,000","3,310,000","6,000,000",FUT 21 ICONS,Netherlands,Icons,5 ,5 ,5 ,Right ,"180cm | 5'11"" ",70 ,Icon,Low,High,2020-09-10,Medium,true,Lean,25-04-1947
https://www.futbin.com/21/player/11/alessandro-del-piero,Alessandro Del Piero,"770,000","696,000","990,000",FUT 21 ICONS,Italy,Icons,4 ,5 ,4 ,Right ,"174cm | 5'9"" ",74 ,Icon,Med,Med,2020-09-10,Medium,false,Unique,09-11-1974
https://www.futbin.com/21/player/53/raul-gonzalez-blanco,Raúl González Blanco,"1,140,000","1,000,000","1,375,000",FUT 21 ICONS,Spain,Icons,4 ,4 ,4 ,Left ,"180cm | 5'11"" ",68 ,Icon,Med,High,2020-09-10,Prime,true,Lean,27-06-1977
https://www.futbin.com/21/player/196/miroslav-klose,Miroslav Klose,"404,000",0,"550,000",FUT 21 ICONS,Germany,Icons,3 ,4 ,4 ,Right ,"184cm | 6'0"" ",74 ,Icon,Med,High,2020-09-10,Prime,true,Lean,09-06-1978
https://www.futbin.com/21/player/135/marco-van-basten,Marco van Basten,"229,000","239,000","258,000",FUT 21 ICONS,Netherlands,Icons,3 ,4 ,4 ,Right ,"188cm | 6'2"" ",80 ,Icon,Low,Med,2020-09-10,Medium,false,High & Average+,31-10-1964
https://www.futbin.com/21/player/129/laurent-blanc,Laurent Blanc,"1,150,000","930,000","1,530,000",FUT 21 ICONS,France,Icons,2 ,3 ,4 ,Right ,"192cm | 6'4"" ",82 ,Icon,High,Med,2020-09-10,Prime,false,High & Average,19-11-1965
https://www.futbin.com/21/player/116/roberto-carlos,Roberto Carlos da Silva Rocha,"1,473,000","1,290,000","1,640,000",FUT 21 ICONS,Brazil,Icons,3 ,2 ,5 ,Left ,"168cm | 5'6"" ",69 ,Icon,High,High,2020-09-10,Prime,false,Unique,10-04-1973
https://www.futbin.com/21/player/113/patrick-vieira,Patrick Vieira,"4,497,000","3,570,000",0,FUT 21 ICONS,France,Icons,3 ,3 ,4 ,Right ,"192cm | 6'4"" ",83 ,Icon,High,Med,2020-09-10,Prime,true,High & Average+,23-06-1976
https://www.futbin.com/21/player/110/patrick-kluivert,Patrick Kluivert,"395,000","420,000","509,000",FUT 21 ICONS,Netherlands,Icons,4 ,4 ,4 ,Right ,"188cm | 6'2"" ",81 ,Icon,Low,High,2020-09-10,Prime,false,Average,01-07-1976
https://www.futbin.com/21/player/103/ronaldinho,Ronaldo de Assis Moreira,"3,235,000","2,699,000","4,002,000",FUT 21 ICONS,Brazil,Icons,5 ,4 ,5 ,Right ,"180cm | 5'11"" ",76 ,Icon,Low,High,2020-09-10,Medium,false,Ronaldinho,21-03-1980
https://www.futbin.com/21/player/79/michael-laudrup,Michael Laudrup,"305,000","305,000","369,000",FUT 21 ICONS,Denmark,Icons,4 ,4 ,4 ,Right ,"183cm | 6'0"" ",78 ,Icon,Med,Med,2020-09-10,Prime,false,Average,15-06-1964
https://www.futbin.com/21/player/73/lothar-matthaus,Lothar Matthäus,"2,140,000","1,790,000","2,399,000",FUT 21 ICONS,Germany,Icons,3 ,4 ,4 ,Right ,"174cm | 5'9"" ",70 ,Icon,High,High,2020-09-10,Medium,false,Average,21-03-1961
https://www.futbin.com/21/player/70/socrates,Sócrates Vieira de Oliveira,"1,140,000","1,030,000","1,250,000",FUT 21 ICONS,Brazil,Icons,4 ,5 ,4 ,Right ,"192cm | 6'4"" ",79 ,Icon,Med,High,2020-09-10,Prime,true,High & Average+,19-02-1954
https://www.futbin.com/21/player/201/eusebio,Eusébio da Silva Ferreira,"4,079,000","3,290,000","4,600,000",FUT 21 ICONS,Portugal,Icons,4 ,5 ,4 ,Right ,"175cm | 5'9"" ",76 ,Icon,Med,High,2020-09-10,Medium,false,Average,25-01-1942
https://www.futbin.com/21/player/65/ronald-koeman,Ronald Koeman,"765,000","750,000","820,000",FUT 21 ICONS,Netherlands,Icons,3 ,3 ,5 ,Right ,"181cm | 5'11"" ",82 ,Icon,Med,High,2020-09-10,Prime,false,Average,21-03-1963
https://www.futbin.com/21/player/61/gheorghe-hagi,Gheorghe Hagi,"481,000","445,000","1,200,000",FUT 21 ICONS,Romania,Icons,4 ,4 ,4 ,Left ,"172cm | 5'8"" ",68 ,Icon,Low,Med,2020-09-10,Prime,false,Average,05-02-1965
https://www.futbin.com/21/player/223/gennaro-gattuso,Gennaro Gattuso,"420,000","394,000","594,000",FUT 21 ICONS,Italy,Icons,2 ,3 ,4 ,Right ,"177cm | 5'10"" ",77 ,Icon,High,Med,2020-09-10,Prime,true,Stocky,09-01-1978
https://www.futbin.com/21/player/222/sol-campbell,Sol Campbell,"930,000","810,000","1,100,000",FUT 21 ICONS,England,Icons,2 ,3 ,4 ,Right ,"188cm | 6'2"" ",90 ,Icon,Med,Low,2020-09-10,Prime,true,High & Stocky,18-09-1974
https://www.futbin.com/21/player/214/steven-gerrard,Steven Gerrard,"779,000","840,000","1,020,000",FUT 21 ICONS,England,Icons,3 ,3 ,3 ,Right ,"183cm | 6'0"" ",80 ,Icon,High,High,2020-09-10,Medium,true,Average,30-05-1980
https://www.futbin.com/21/player/208/david-trezeguet,David Trezeguet,"186,000","181,000","215,000",FUT 21 ICONS,France,Icons,4 ,4 ,4 ,Right ,"187cm | 6'2"" ",75 ,Icon,Low,Med,2020-09-10,Medium,true,High & Average+,15-10-1977
